Perk,Required System,,,When do conditions get checked?,,
Gain +10 HP,System to increase max HP,,,Pre-combat phase,,
Draw 1 Additional Card Each Turn,System to modify the player's card draw count per turn,,,Start of each turn,,
Evade all negative events during this campaign,Event filtering system to exclude negative events during a campaign,,,When cards get played,,
Your 12th card plays twice,Card usage tracker that triggers a duplicate play on the 12th card,,,Damage dealt or received ,,
Gain +3 Armor each turn,Passive armor generation system,,,End of turn,,
You can't use 'class mechanic' cards; your basic cards cast twice.,Class card restriction system; Basic card duplication system,,,Combat conclusion ,,
If you have energy left at the end of your turn, Gain Str next turn,System to track unused energy and apply strength bonuses next turn,,,,
Remove all Damage over Time effect at the end of turn,Cleanse system for DoT effects during end-of-turn phase,,,,,
Whenever you draw 3 additional cards per turn, Gain Str,Card draw counter with conditional strength gain trigger,,,,
Perish cards don't perish at first use,Perish mechanic override for the first use of each card,,,,,
Whenever you are reduced below %20 HP,All your cards deal +5 damage,HP threshold trigger system; Global card damage boost,,,,
Armor stays after each turn,Persistent armor system that disables end-of-turn armor decay,,,,,
You no longer gain honor from fights; Start with Str 3 each fight,Honor gain suppression system; Initial strength boost at combat start,,,,,
Gain 3 Str after each kill,Kill tracker with strength gain trigger,,,,,
Whenever you draw an additional card,Hit 3 to a random enemy,Card draw event tracker; Random enemy targeting for damage,,,,
When you use two different spec cards,reduce cost of a random card in hand by 1,Spec differentiation tracker; Random card cost reduction system,,,,
When you are above %95 HP,gain +1 energy per turn,HP condition tracker with energy gain adjustment,,,,
When you are above %95 HP,draw 2 more cards per turn,HP condition tracker with card draw modification,,,,
Random card in your starting hand costs 0 this battle,Pre-combat card cost adjustment system,,,,,
Unspent Energy continues next turn,Energy rollover system between turns,,,,,
Whenever you take damage,Deal 2 damage to random enemy,Damage reception tracker; Random enemy damage system,,,,
As long as you have less than X cards,Gain 1 energy,Draw 1 more card each turn and start with 30 armor each combat,Deck size tracker; Combined energy, card draw, and initial armor systems,
You gain double honor; Shops offer you half the goods,Honor multiplier; Shop inventory adjustment system,,,,,
Shops offer you an additional perk and card with %50 discount,Shop inventory enhancement system with discounted pricing,,,,,
Upgrade 3 cards when you pick this perk, remove the perk afterwards,Card upgrade system; Self-destructive perk behavior,,,,
Hit 50 to all enemies at the start of your 15th turn,Turn tracker with mass damage trigger,,,,,
